i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.16141735017299652,0.4088330764646039,0.3015419684942359,-0.13995720225024982,-0.5205976472677771,-0.43216827923434686,0.4961961804896756,0.5323287887544964,0.08238359370414153,0.7134993331015961,0.9087731628916041,0.9345947131947033,1.0781490163216825,0.15657936523981747,1.0797122919608284,0.7954264696121602,0.4427501711789136
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.15117599070072174,0.4537213880391291,0.2103088186263967,-0.3291075070592523,-0.6748311265407662,-0.3426284383968967,0.5332440199952452,0.4978590759887818,0.08101246553035653,0.5831016003868694,0.9138041254833602,0.9424021529937029,1.0836648536625673,0.17577637414588124,1.041006629328364,0.8180205364603071,0.3307039652664486
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.15412576496601105,0.46482945497322326,0.26040793397980955,-0.5517347485492147,-0.7235055979647553,-0.39929328246199514,0.5658799231656856,0.6354947575477062,0.06438638749539657,0.6535399286940567,0.9091336113744283,0.9374062603480653,1.0902878550672734,0.11158986651752191,1.0149144674735007,0.8017774076371897,0.4342398036840608
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.15106575191020966,0.493035248343325,0.2464332083959013,-0.6286182255522307,-0.676261278889611,-0.4137237956888689,0.3796808693555466,0.657125995802006,0.052982346393373556,0.6587912387706213,0.9123019437543789,0.9393440132094971,1.0945070187057884,0.13191465341340228,1.024725569134977,0.8242766954702875,0.43406980926495087
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.14817160367965698,0.4667094325950603,0.22551650777615898,-0.6368530506311373,-0.7428331971321275,-0.4452617815501957,0.398467483732105,0.5897967457254059,0.04700935103924934,0.6266277609281561,0.9134046928591301,0.938163371252716,1.0999975820263839,0.12801656046830426,1.0264095091893004,0.8111065068900387,0.4117870144518939
6000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.15185211598873138,0.47889133705836134,0.21703431042082658,-0.6455000949681622,-0.7172155883022376,-0.441953763082583,0.52958616678776,0.6484812403279109,0.03941832596322536,0.6991276003406357,0.9116303135353938,0.9443213630718635,1.1042908349319085,0.09830287617706471,1.0140769585280687,0.8105527617858621,0.47746066944313337
7000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.14987525343894958,0.582374402839987,0.2666736249264024,-0.6749011981702804,-0.638896038846994,-0.5037755428203761,0.4803991190207788,0.5551323181391802,0.05235769867891207,0.6700054942417863,0.9071890181839346,0.9439566942989374,1.1056858008574433,0.12539403092737256,1.0215955715658127,0.811094608466853,0.4223391901432357
8000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.15539950132369995,0.4398297774119259,0.24825615979574733,-0.626671121420748,-0.6628429280106926,-0.5081507276672174,0.4668327493337412,0.6423411369914424,0.03310336655021833,0.733072973826415,0.9125092200698559,0.9365059478895277,1.108567773218194,0.0960137138243963,1.0186952703020673,0.8112523274776827,0.5012428916361148
9000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.15488791465759277,0.3221379940301443,0.22225368956558292,-0.5790727965433791,-0.708871777010391,-0.5884432178104413,0.42281223373584537,0.6150073960526844,0.0446167322877208,0.7504760949109545,0.913404330534153,0.9365069982346501,1.1107811259462426,0.09195402154362552,0.9924266987779838,0.812866781051774,0.4835264247262666
10000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.15456905961036682,0.29306635743067816,0.18499356471781947,-0.6947024396609068,-0.6571562552931669,-0.5166053570065856,0.5650366290839888,0.6175902711329516,0.04507743069180627,0.7253902450447751,0.9176476448220643,0.9364752198426455,1.1099895600027176,0.08958713368950488,0.991623211989712,0.8134121460672183,0.4800950260643056
11000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.15127597749233246,0.5317801356386072,0.22981805728610563,-0.6002362420717208,-0.6754049185795348,-0.4368145174144732,0.6304729944794466,0.6301202937420891,0.055049380763614625,0.6791386161809577,0.9104102886211595,0.9391458515136712,1.1143558263628157,0.11306399604029363,1.0407721199347117,0.8204401378605855,0.46305813595572665
12000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.15694159269332886,0.4801579031253753,0.30275411155457027,-0.6207845451691713,-0.7039432637036178,-0.6674970161046485,0.47567260577525283,0.6439627822802916,0.0370894929218116,0.8273964319465682,0.9108241690818328,0.9356160906142813,1.1243742286037888,0.06469368872327483,0.970834565529496,0.8458885727720546,0.5627426836926283
13000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.1560155749320984,0.4926863753026286,0.20925595246733358,-0.6644956914051123,-0.7201483241797861,-0.5052035754798492,0.48901879121439673,0.6875070611866547,0.034638353479461925,0.7828753813483355,0.9119362534879379,0.9427054256225734,1.1136935902095786,0.08408997892881849,1.0359987514824254,0.8075104742928644,0.55760252259781
14000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.1564813256263733,0.40769172885493726,0.210388762201537,-0.7040860831277317,-0.6627906021676706,-0.5656306671432256,0.5819328104304393,0.686146072219651,0.04168269735516973,0.7490634602810107,0.9136130526005856,0.9414777919660806,1.1105816256848913,0.07840080034367854,1.0141777763973114,0.8012232620061362,0.539889233551182
15000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.16214506328105927,0.37445185652948515,0.29048987908724766,-0.6326687161454961,-0.6561220333847629,-0.5440543163292723,0.4307745549911145,0.6869360904283127,0.038735009969352086,0.7708716527258629,0.9124994663433883,0.9327667320986072,1.1056274608029963,0.06504965745227244,1.0328047320953122,0.7749355763567529,0.5879493952478522
16000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.15165583789348602,0.5607341464724848,0.2482689374468005,-0.6859503897712768,-0.7230742819418619,-0.3772482846510439,0.37327911744455805,0.6882753691719438,0.059797950937846366,0.6460229124029154,0.9096584302979275,0.9448463943344522,1.0910752887900694,0.12521355888093127,1.0264170696616248,0.794879036890781,0.4314835781231687
17000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.15254198014736176,0.3937839873167545,0.2425042578902146,-0.6351407608753787,-0.6374477504738525,-0.4090484834239323,0.2887956443209012,0.6280940521841119,0.06554178826912095,0.6780128352829756,0.9144405114741014,0.9376397062769799,1.083852806223092,0.13173510460478322,1.0404426219447682,0.8240370164897876,0.43688846960313266
18000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.1593659520149231,0.41622565848857207,0.2526242347411139,-0.5825722547833805,-0.6942879031252854,-0.568321975182947,0.2643024009704628,0.658238391168753,0.039242241904379256,0.7619822188952157,0.9125055896284201,0.9377877716824551,1.0970025841053617,0.07415942670561355,0.983780704078799,0.7872478038551967,0.5084013096048835
19000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.1555892825126648,0.38849698986717524,0.2092971846562125,-0.6090811628734597,-0.6944562276021908,-0.5468498825678736,0.39353789500775416,0.6211082629818625,0.040007512496971966,0.7417557517158371,0.9154274983655367,0.9403325455740823,1.1087494164623826,0.0897517449412903,0.9904952835063331,0.8207967567908602,0.5006562457349883
20000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.15988071262836456,-0.020932086843211857,0.2671652441363336,-0.6019465903049841,-0.6933625667821521,-0.562461407553904,0.47998855216236513,0.6791223531862081,0.04813175392473447,0.7334428038197587,0.9231370222915326,0.9231146600197733,1.0891459969522828,0.07452137996706124,0.9907087866679084,0.792597473258683,0.5325321414952046
